Glacier,Mean,Std,Median,Maximum,Minimum,Mean absolute,RMSE
North glacier,30.74,31.93,23.56,205.26,-42.15,33.47,44.32
South glacier,33.43,57.27,31.25,604.83,-79.35,46.76,66.31
Kaskawulsh glacier,112.76,539.05,18.30,7190.90,-26.12,118.84,550.72
Job glacier,-3.58,23.50,-8.66,76.49,-36.74,18.12,23.77
little Kluane glacier,21.22,12.17,22.75,36.31,0.38,21.22,24.46
